,title,price,date,fuel,km,power_cv,displacement_cm3,consumption,seats,owners,sliding_doors
0,Mercedes-Benz Vito Kasten 122 CDI lang Austauschmotor von MB,8999,07/2013,Diésel,551000,165.0,2987,8.6,2,2,both-sided
1,Mercedes-Benz V 220 *Extra Lang*Kamera *PDC *Navi,20800,11/2016,Diésel,539000,120.0,2143,6.1,8,2,both-sided
2,"Mercedes-Benz V 250 d Avantgarde Edition lang 1Hand
19.900 € (bruto)
16.723 € (neto)",19900,03/2016,Diésel,531766,140.0,2143,6.0,6,1,both-sided
3,Mercedes-Benz V -Klasse V 250 CDI/BT/d AVANTGARD,28600,06/2018,Diésel,520093,140.0,2143,6.0,8,1,both-sided
4,"Mercedes-Benz V 200 V/220 CDI/d, 250 CDI/BT/d AVANTGART AMG",29990,12/2017,Diésel,519211,140.0,2143,6.0,8,1,both-sided
5,Mercedes-Benz V 200 7 SITS Navi Cruise 2x Schiebetur,21500,05/2017,Diésel,515001,100.0,2143,6.5,7,1,both-sided
6,Ford Tourneo Custom 9 Sitze 2xKlima 2xSchiebetür TOP,13000,05/2018,Diésel,508000,96.0,1995,6.3,8,1,both-sided
7,Volkswagen Caddy/Kombi Maxi Trendline BMT/7Sitzer/1.Hand,4900,12/2012,Diésel,504780,75.0,1598,5.2,7,1,both-sided
8,Mercedes-Benz V 250 AVANTGARDE extralang LED Leder el. Türen!!,19992,07/2017,Diésel,502093,140.0,2143,6.0,8,2,both-sided
9,Mercedes-Benz V-Klasse V 250 d lang Led Leder,19990,10/2014,Diésel,491000,140.0,2143,6.0,7,2,both-sided
10,"Volkswagen Sharan 2.0 TDI DSG *LKW Umbau*Navi*SHZ*
7.850 € (bruto)
6.597 € (neto)",7850,09/2015,Diésel,470000,110.0,1968,5.2,5,2,both-sided
11,Mercedes-Benz V 250d 4Matic Edition Lang 6Sitze,25000,09/2017,Diésel,470000,140.0,2143,6.7,6,2,both-sided
12,Volkswagen T5 Multivan*LEDER*NAVI*AHK*SHZ*TÜV8/26,8999,06/2007,Diésel,459414,128.0,2459,8.6,7,2,both-sided
13,Ford Tourneo Custom TDCi*170PS*8Sitze*Titanium*Euro6*,12200,07/2017,Diésel,459050,125.0,1995,6.3,8,2,both-sided
14,Ford Tourneo Custom TDCi*170PS*8Sitze*Titanium*Euro6,12200,07/2017,Diésel,459050,125.0,1995,6.3,8,2,both-sided
15,Fiat Scudo Panorama Executive L2H1 165 Multijet,5290,07/2011,Diésel,454680,120.0,1997,7.1,8,3,both-sided
16,Volkswagen Sharan Comfortline,13300,05/2019,Diésel,452900,110.0,1968,5.5,7,1,both-sided
17,Mercedes-Benz V 250 CDI/BT/d 4MATIC,19999,08/2016,Diésel,451000,140.0,2143,6.7,8,1,both-sided
18,"Mercedes-Benz V 250 d Aut. Avantgarde Extralang,8 Sitzer,Kam",24999,08/2018,Diésel,440000,150.0,2143,6.8,8,2,both-sided
19,Ford Transit Connect Kombi lang Trend,6990,04/2018,Diésel,437000,88.0,1499,4.8,5,2,both-sided
20,Mercedes-Benz Sprinter Bestattungswagen 4-Sarg,9950,07/2017,Diésel,437000,120.0,2143,8.0,2,1,both-sided
21,"Volkswagen Caddy PKW Maxi BMT Behindertengerecht, 7-Sitze",9900,12/2019,Diésel,429000,75.0,1968,5.5,7,1,both-sided
22,"Volkswagen T5 Multivan,7-Sitzer,Leder,Ahk,2X Schiebetüren",7990,09/2006,Diésel,424000,128.0,2459,,7,4,both-sided
23,Mercedes-Benz Vito 119 NEF Miesen 4x4 ATM mit 83.400 km,17999,03/2017,Diésel,422885,140.0,2143,5.8,3,1,both-sided
24,Volkswagen Caddy 2.0 TDI Maxi Trendline LED 7-Sitzer Navi,10900,03/2019,Diésel,420000,110.0,1968,,7,1,both-sided
25,"Ford Grand Tourneo Connect, SITZHEIZG, StandHeizg, AC",6390,01/2016,Diésel,419704,88.0,1499,4.6,7,1,both-sided
26,"Volkswagen Sharan 2.0 TDI SCR DSG 7 Sitzer Euro6
6.200 € (bruto)",6200,05/2019,Diésel,415000,110.0,1968,5.2,7,1,both-sided
27,"Volkswagen Caddy Maxi 7 Sitzer Neues Modell 2.0 TDI
11.900 € (bruto)",11900,06/2021,Diésel,414000,90.0,1968,4.6,7,1,both-sided
28,Mercedes-Benz Vito Tourer 116 CDI SchienenTempo. Freisp. 1.HD!,10445,11/2016,Diésel,410846,120.0,2143,6.0,2,1,left
29,Mercedes-Benz Vito 119 CDI 4Matic Extralang,14900,02/2019,Diésel,407950,140.0,2143,5.8,3,1,both-sided
30,Volkswagen Sharan 4Motion+7 Sitze+Automatik+Neue Motor+,14000,01/2018,Diésel,406000,135.0,1968,5.7,7,1,both-sided
31,Volkswagen Caddy Maxi /1.Hand/Automatik/Rollstuhlrampe/7 Si,12990,02/2019,Diésel,403552,75.0,1968,5.5,7,1,both-sided
32,Volkswagen T5 Business Bus Multivan Highline/Alu/Tüv 06.26,5990,05/2009,Diésel,400000,96.0,2459,8.3,7,3,both-sided
33,Renault Master III Kasten L3H3*2xSchiebetür*Klima*Tempom,13950,01/2020,Diésel,399102,132.0,2299,6.6,3,1,both-sided
